station,signal_col,AM_SNR_dB,FM_SNR_dB,ASK_SNR_dB,FSK_SNR_dB,PSK_SNR_dB,ASK_BER,FSK_BER,PSK_BER
EC_1,i3_photoresistor,25.7,22.988,19.069,22.989,22.99,0.00264,0.49868,0.0
EC_1,current_task_duration,22.99,22.99,-inf,22.992,22.99,0.0,0.47861,0.0
HBW_1,m1_speed,26.956,22.983,22.893,22.99,22.98,0.00581,0.52059,0.0
HBW_1,m2_speed,25.844,22.985,16.989,22.914,22.98,0.11721,0.50739,0.0
HBW_1,m3_speed,25.937,22.981,21.196,23.004,22.98,0.17371,0.49261,0.0
HBW_1,m4_speed,25.764,22.982,15.227,22.954,22.98,0.07075,0.48891,0.0
HBW_1,current_task_duration,23.984,22.982,-7.512,22.979,22.98,0.00053,0.47941,0.0
MM_1,m1_speed,26.209,22.98,22.859,22.977,22.98,0.00792,0.51954,0.0
MM_1,m2_speed,24.004,22.978,0.369,22.988,22.98,0.00264,0.47888,0.0
MM_1,m3_speed,27.601,22.983,22.886,22.978,22.98,0.00581,0.52059,0.0
MM_1,current_task_duration,23.723,22.98,4.667,22.981,22.98,0.00475,0.48152,0.0
OV_1,m1_speed,25.941,22.989,22.667,22.98,22.99,0.03539,0.51928,0.0
OV_1,current_task_duration,23.975,22.992,10.876,23.01,22.99,0.0074,0.47755,0.0
SM_1,m1_speed,27.637,22.986,22.779,22.983,22.99,0.00581,0.52245,0.0
SM_1,current_task_duration,23.687,22.988,3.798,22.996,22.99,0.00423,0.47385,0.0
VGR_1,m1_speed,25.952,22.989,21.757,22.997,22.99,0.11516,0.514,0.0
VGR_1,m2_speed,25.817,22.987,15.474,23.008,22.99,0.11305,0.47966,0.0
VGR_1,m3_speed,25.848,22.99,16.812,22.94,22.99,0.12573,0.49868,0.0
VGR_1,current_task_duration,24.464,22.988,14.131,22.996,22.99,0.02588,0.48547,0.0
WT_1,m2_speed,25.982,22.989,22.725,22.981,22.99,0.01532,0.51347,0.0
WT_1,current_task_duration,22.99,22.99,-inf,22.992,22.99,0.0,0.47861,0.0
