station,mod,nrz_ber,manc_ber,best
EC_1,AM,0.0,0.0,NRZ
HBW_1,AM,5e-06,0.0,NRZ
MM_1,AM,0.0,0.0,NRZ
OV_1,AM,1.6e-05,0.0,NRZ
SM_1,AM,0.0,0.0,NRZ
VGR_1,AM,0.0,0.0,NRZ
WT_1,AM,5e-06,0.0,NRZ
EC_1,FM,5e-06,0.0,NRZ
HBW_1,FM,1.6e-05,0.0,NRZ
MM_1,FM,5e-06,0.0,NRZ
OV_1,FM,0.0,0.0,NRZ
SM_1,FM,1e-05,0.0,NRZ
VGR_1,FM,0.0,0.0,NRZ
WT_1,FM,5e-06,0.0,NRZ
EC_1,ASK,5e-06,0.0,NRZ
HBW_1,ASK,0.0,0.0,NRZ
MM_1,ASK,0.0,0.0,NRZ
OV_1,ASK,0.0,0.0,NRZ
SM_1,ASK,1.7e-05,0.0,NRZ
VGR_1,ASK,0.0,0.0,NRZ
WT_1,ASK,5e-06,0.0,NRZ
EC_1,FSK,2.3e-05,0.0,NRZ
HBW_1,FSK,1e-05,0.0,NRZ
MM_1,FSK,5e-06,0.0,NRZ
OV_1,FSK,5e-06,0.0,NRZ
SM_1,FSK,0.0,0.0,NRZ
VGR_1,FSK,0.0,0.0,NRZ
WT_1,FSK,1e-05,0.0,NRZ
EC_1,PSK,5e-06,0.0,NRZ
HBW_1,PSK,5e-06,0.0,NRZ
MM_1,PSK,2.2e-05,0.0,NRZ
OV_1,PSK,6e-06,0.0,NRZ
SM_1,PSK,0.0,0.0,NRZ
VGR_1,PSK,0.0,0.0,NRZ
WT_1,PSK,5e-06,0.0,NRZ
