station,mod,sqnr_8,sqnr_10,sqnr_12
EC_1,AM,52.217448,63.446368,75.515728
HBW_1,AM,55.554256,71.438568,85.243576
MM_1,AM,54.932008,69.196192,88.655688
OV_1,AM,62.087872,76.10772,90.15228
SM_1,AM,63.970592,83.372856,81.662552
VGR_1,AM,59.449272,74.479928,83.500872
WT_1,AM,55.910448,67.193192,84.615168
EC_1,FM,52.217448,63.446368,75.515728
HBW_1,FM,55.554256,71.438568,85.243576
MM_1,FM,54.932008,69.196192,88.655688
OV_1,FM,62.087872,76.10772,90.15228
SM_1,FM,63.970592,83.372856,81.662552
VGR_1,FM,59.449272,74.479928,83.500872
WT_1,FM,55.910448,67.193192,84.615168
EC_1,ASK,52.217448,63.446368,75.515728
HBW_1,ASK,55.554256,71.438568,85.243576
MM_1,ASK,54.932008,69.196192,88.655688
OV_1,ASK,62.087872,76.10772,90.15228
SM_1,ASK,63.970592,83.372856,81.662552
VGR_1,ASK,59.449272,74.479928,83.500872
WT_1,ASK,55.910448,67.193192,84.615168
EC_1,FSK,52.217448,63.446368,75.515728
HBW_1,FSK,55.554256,71.438568,85.243576
MM_1,FSK,54.932008,69.196192,88.655688
OV_1,FSK,62.087872,76.10772,90.15228
SM_1,FSK,63.970592,83.372856,81.662552
VGR_1,FSK,59.449272,74.479928,83.500872
WT_1,FSK,55.910448,67.193192,84.615168
EC_1,PSK,52.217448,63.446368,75.515728
HBW_1,PSK,55.554256,71.438568,85.243576
MM_1,PSK,54.932008,69.196192,88.655688
OV_1,PSK,62.087872,76.10772,90.15228
SM_1,PSK,63.970592,83.372856,81.662552
VGR_1,PSK,59.449272,74.479928,83.500872
WT_1,PSK,55.910448,67.193192,84.615168
